Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”,Name: “Table 1 of 1 on page 37 of 56”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,,,,,,,,
Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management
Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed
on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges
on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,,
,,STORMWATER UTILITY REVENUE FUND ( % Change),STORMWATER UTILITY REVENUE FUND ( % Change),STORMWATER UTILITY REVENUE FUND ( % Change),STORMWATER UTILITY REVENUE FUND ( % Change),STORMWATER UTILITY REVENUE FUND ( % Change),STORMWATER UTILITY REVENUE FUND ( % Change),,,
60%,,,,,,,,,,
,,,,50.6%,,,,,,
50%,,,,,,,,,,
,,,39.8%,,,,,,,
40%,,,,,,,,,,
30%,,,,,26.9%,,,,,
20%,,,,,,,,,,
,,,,,,8.2%,,,,
,3.5%,5.5%,,,,,3.5%,,,
0.5%,,,,,,,,0.5%,,
0%,,,,,,,,,,
,,,,,,,,,-0.5%,-0.3%
-10%,,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,2012,Budget,Forecast
,,,,,,,,,2013,2014
,,,,,Fiscal Year,,,,,
,,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,,
,,,Fiscal Year,Fiscal Year,Revenue,,Change,,,
,,,2004,2004,"$4,579,702",,0.5%,,,
,,,2005,2005,"$4,739,050",,3.5%,,,
,,,2006,2006,"$4,998,371",,5.5%,,,
,,,2007,2007,"$6,988,335",,39.8%,,,
,,,2008,2008,"$10,524,147",,50.6%,,,
,,,2009,2009,"$13,350,476",,26.9%,,,
,,,2010,2010,"$14,446,522",,8.2%,,,
,,,2011,2011,"$14,951,070",,3.5%,,,
,,,2012,2012,"$15,032,653",,0.5%,,,
,,,Budget 2013,Budget 2013,"$14,953,094",,-0.5%,,,
,,,Forecast 2014,Forecast 2014,"$14,906,000",,-0.3%,,,
FY 2013-14 Operating Budget,FY 2013-14 Operating Budget,,,,71,,,,"As Amended June 11, 2013","As Amended June 11, 2013"
