Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”,Name: “Table 1 of 1 on page 20 of 22”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,,,,,,,
,,,,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,ISLE OF WIGHT COUNTY,,,,,,,
,,FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),FY 2010-14 CAPITAL IMPROVEMENT PLAN (CIP),,,,
,,,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,Adopted by Board of Supervisors,,,,,,
,,,,,Engineering Division,Engineering Division,Engineering Division,Engineering Division,,,,,,,,
,,,Capital,Capital,,,,,Year 1 through 5,Year 1 through 5,Year 1 through 5,,,,,
,Prior Years,Prior Years,Budget,Budget,,,,,,,,,,,,TOTAL
Department / Agency,,Funding,FY 2008-09,FY 2008-09,FY 2009-10,FY 2009-10,FY 2010-11,FY 2010-11,FY 2011-12,FY 2011-12,FY 2012-13,FY 2012-13,FY 2013-14,FY 2013-14,FY 2010-14,
Reserve for E&S Control,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000"
TOTAL:,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000"
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000"
Fund Balance/Reserves,,,,,,,,,,,,,,,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"25,000",$,"125,000"
,,,,,,,,Year 6 through 10,Year 6 through 10,Year 6 through 10,,,,,,10 Year
,,,,,,,,,,,,,,TOTAL,,CIP
Department / Agency,,,FY 2014-15,FY 2014-15,FY 2015-16,FY 2015-16,FY 2016-17,FY 2016-17,FY 2017-18,FY 2017-18,FY 2018-19,FY 2018-19,FY 2015-19,FY 2015-19,,TOTAL
Reserve for E&S Control,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
,,,,,,,,,,,,,,-,,
TOTAL:,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
Revenue Sources:,,,,,,,,,,,,,,,,
Operating Revenues,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
Fund Balance/Reserves,,,,-,,,,,,,,,,-,,-
Bonded / Note Indebtedness,,,,,,,,,,,,,,-,,-
Grants / Donations / Other,,,,-,,-,,-,,-,,-,,-,,-
TOTAL:,,,$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"50,000",$,"250,000",$,"375,000"
,,,,,,,,,,,,,,,,18
4/3/2009,,,,,,,,,,,,,,,,
