Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”,Name: “Table 1 of 1 on page 11 of 28”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,
,,,Source Water Assessments and Wellhead Protection,Source Water Assessments and Wellhead Protection,Source Water Assessments and Wellhead Protection,,Office of Water Supply Planning,Office of Water Supply Planning
,,,Hampton Roads Peninsula,Hampton Roads Peninsula,,,"629 East Main Street,","629 East Main Street,"
,,,,,,,"P.O. Box 1105, Richmond, VA",23218
,,,,,,URL:,http://www.deq.virginia.gov/watersupplyplanning/,http://www.deq.virginia.gov/watersupplyplanning/
Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,Note findings and recommendations from source water assessment plans and/or wellhead protection programs. Reference sources and note any assumptions.,"If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly.","If unable to find data or data not applicable, note accordingly."
"If applicable, mark program/plan areas on associated map.","If applicable, mark program/plan areas on associated map.","If applicable, mark program/plan areas on associated map.",,,,,,
FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,FINDINGS AND RECOMMENDATIONS FROM APPLICABLE SOURCE WATER ASSESSMENT PLANS OR WELLHEAD PROTECTION PROGRAMS,
(9 VAC 25-780-70K),,,,,,,,
,,Source Water Assessment Plan(s):,,,,Wellhead Protection Program(s):,Wellhead Protection Program(s):,
,,,,,Date of,,,
Locality Name,Date of Plan,,Summary of Findings and Recommendations,,,Summary of Findings and Recommendations,Summary of Findings and Recommendations,
,,,,,Program,,,
,,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,,,,
,,Roads Planning District Commission.,The Chickahominy River and Newport,The Chickahominy River and Newport,,,,
,,News reservoir system were determined to have a high suspectiblity to,News reservoir system were determined to have a high suspectiblity to,News reservoir system were determined to have a high suspectiblity to,,,,
Newport News Waterworks,2001,contamination.,All of the groundwater wells were determined to have a low,All of the groundwater wells were determined to have a low,NA,A wellhead protection program has not be established.,A wellhead protection program has not be established.,A wellhead protection program has not be established.
,,suspectibility to contamination.,The SWAP report contains maps showing,The SWAP report contains maps showing,,,,
,,"the source water assessment areas, and inventory of known land use","the source water assessment areas, and inventory of known land use","the source water assessment areas, and inventory of known land use",,,,
,,"activities of concern, and documentation of any known contamination.","activities of concern, and documentation of any known contamination.","activities of concern, and documentation of any known contamination.",,,,
,,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,A detailed source water assessment was conducted in 2001 by the Hampton,,,,
,,Roads Planning District Commission.,The Wallers Mill Reservoir was,The Wallers Mill Reservoir was,,,,
,,determined to have a high suspectiblity to contamination.,The groundwater,The groundwater,,,,
City of Williamsburg,2001,well was determined to have a low suspectibility to contamination.,well was determined to have a low suspectibility to contamination.,The,NA,A wellhead protection program has not be established.,A wellhead protection program has not be established.,A wellhead protection program has not be established.
,,"SWAP report contains maps showing the source water assessment areas,","SWAP report contains maps showing the source water assessment areas,","SWAP report contains maps showing the source water assessment areas,",,,,
,,"and inventory of known land use activities of concern, and documentation of","and inventory of known land use activities of concern, and documentation of","and inventory of known land use activities of concern, and documentation of",,,,
,,any known contamination.,,,,,,
,,VDH determined that Well #5 in the Lightfoot system has a very low,VDH determined that Well #5 in the Lightfoot system has a very low,VDH determined that Well #5 in the Lightfoot system has a very low,,,,
,,suspectibility to contamination.,None of the other wells in the County have,None of the other wells in the County have,,,,
York County,NA,,,,NA,A wellhead protection program has not be established.,A wellhead protection program has not be established.,A wellhead protection program has not be established.
,,been assessed.,The other CWSs in the county purchase water from Newpor,The other CWSs in the county purchase water from Newpor,,,,
,,News and Williamsburg.,,,,,,
,,,10,,,,,
