Name: “Table 1 of 1 on page 1 of 3”,Name: “Table 1 of 1 on page 1 of 3”,Name: “Table 1 of 1 on page 1 of 3”,Name: “Table 1 of 1 on page 1 of 3”,Name: “Table 1 of 1 on page 1 of 3”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,
,,TOWN OF SMITHFIELD,,
,,GENERAL GOVERNMENT BUDGET,,
,,REVENUE,,
,,Proposed,Proposed,%
,Budget Revision,,Budget,Increase
,FY 2004-2005,,FY 2005-2006,
TAXES:,,,,
Real Estate,"1,333,000",,"1,400,000",5.03%
Personal Property,"680,000",,"680,000",0.00%
Sales,"208,000",,"234,000",12.50%
Utility,"259,000",,"267,000",3.09%
Meals,"685,000",,"685,000",0.00%
Cigarette,"125,000",,"125,000",0.00%
Transient Occupancy,"45,000",,"46,000",2.22%
Consumption,"50,750",,"54,000",6.40%
Cell Phone,"105,000",,"110,000",4.76%
LICENSES:,,,,
Privilege Licenses,"315,000",,"326,500",3.65%
Vehicle Licenses,"113,000",,"116,000",2.65%
INSPECTION AND REVIEW FEES,"65,000",,"17,000",-73.85%
STREET LIGHTS SERVICE (DEVELOPER),"19,300",,"12,000",-37.82%
BANK FRANCHISE,"145,000",,"150,000",3.45%
FINES,"60,000",,"60,500",0.83%
INTEREST,"61,300",,"65,100",6.20%
RENTALS,"15,600",,"16,800",7.69%
SMITHFIELD CENTER RENTALS & SPECIALTY EVENTS,"91,500",,"112,500",22.95%
MISCELLANEOUS,"58,500",,"30,075",-48.59%
STATE & FEDERAL AID,"309,902",,"236,869",-23.57%
SALE OF TOWN PROPERTY,"45,000",,-,-100.00%
OPERATING FUNDS-SUB TOTAL,"4,789,852",,"4,744,344",-0.95%
FROM BUDGETED CAPITAL PROJECT ROLLOVERS,"113366 ,,000000",,"226622 ,,002244",9922 ..6666%%
FROM RESERVES,,-,-,0.00%
TOTAL,"4,925,852",,"5,006,368",1.63%
ROAD MAINTENANCE,"1,059,670",,"768,670",-27.46%
GRAND TOTAL,"5,985,522",,"5,775,038",-3.52%
,EXPENDITURES,EXPENDITURES,,
,,Proposed,Proposed,
,Budget Revision,,Budget,
,FY 2004-2005,,FY 2005-2006,
GENERAL GOVERNMENT,"678,603",,"775,611",14.30%
TREASURER,"213,695",,"217,600",1.83%
SMITHFIELD CENTER,"337,755",,"387,945",14.86%
POLICE DEPARTMENT,"1,579,926",,"1,666,636",5.49%
VOLUNTEER FIRE DEPARTMENT,"157,788",,"141,171",-10.53%
PUBLIC WORKS,"274,880",,"272,870",-0.73%
PUBLIC BUILDINGS,"91,958",,"106,278",15.57%
CONTRIBUTIONS,"417,977",,"475,767",13.83%
PARKS & RECREATION,"5,000",,"5,000",0.00%
